Dataset	Sample	SampleCode	Z_Africa1	Z_Africa2	Z_CentralAsia	Z_CentralEurope	Z_EastAsia	Z_FarEastAsia	Z_India	Z_NativeAmerica	Z_Scandinavia	Z_SouthEastAsia	Z_SouthEurope	Z_UK	Code
KHV	HG01842	HG01842	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.13	0.0	0.52	0.0	0.13	4
JPT	NA18950	NA18950	0.19	0.0	0.27	0.12	0.0	0.3	0.0	0.0	0.12	0.0	0.0	0.0	4
ASW	NA19909	NA19909	0.0	0.8068181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1931818181818182	0.0	2
ASW	NA19700	NA19700	0.0	0.2631578947368421	0.2947368421052632	0.0	0.0	0.10526315789473684	0.0	0.0	0.0	0.0	0.19999999999999998	0.13684210526315788	2
JPT	NA18956	NA18956	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4
GIH	NA20859	NA20859	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4
JPT	NA18963	NA18963	0.0	0.0	0.0	0.0	0.26530612244897955	0.0	0.0	0.5714285714285714	0.16326530612244897	0.0	0.0	0.0	4
ASW	NA19703	NA19703	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	2
GWD	HG02589	HG02589	0.4444444444444444	0.5555555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
GWD	HG02573	HG02573	0.16666666666666666	0.7	0.13333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ACB	HG01985	HG01985	0.0	0.5957446808510638	0.0	0.0	0.0	0.0	0.0	0.40425531914893614	0.0	0.0	0.0	0.0	2
CDX	HG00864	HG00864	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.35	0.0	0.0	4
LWK	NA19036	NA19036	0.34375	0.5520833333333334	0.0	0.0	0.0	0.10416666666666666	0.0	0.0	0.0	0.0	0.0	0.0	2
ACB	HG01879	HG01879	0.5714285714285715	0.19387755102040816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23469387755102042	0.0	0.0	2
JPT	NA18964	NA18964	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4
ESN	HG02981	HG02981	0.40217391304347827	0.40217391304347827	0.1956521739130435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
IBS	HG01506	HG01506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1
TSI	NA20832	NA20832	0.0	0.0	0.36633663366336633	0.0	0.0	0.0	0.33663366336633666	0.0	0.10891089108910891	0.0	0.18811881188118812	0.0	1
TSI	NA20525	NA20525	0.0	0.0	0.0	0.4318181818181818	0.0	0.0	0.0	0.0	0.5681818181818182	0.0	0.0	0.0	1
STU	HG03711	HG03711	0.2674418604651163	0.0	0.0	0.0	0.41860465116279066	0.0	0.0	0.0	0.0	0.0	0.313953488372093	0.0	4
GWD	HG02594	HG02594	0.45652173913043476	0.0	0.0	0.3913043478260869	0.0	0.15217391304347827	0.0	0.0	0.0	0.0	0.0	0.0	2
TSI	NA20517	NA20517	0.0	0.0	0.0	0.0	0.0	0.0	0.4534883720930233	0.0	0.0	0.0	0.5465116279069767	0.0	1
CHB	NA18535	NA18535	0.0	0.0	0.19	0.0	0.25	0.56	0.0	0.0	0.0	0.0	0.0	0.0	4
STU	HG03644	HG03644	0.0	0.8645833333333334	0.0	0.0	0.0	0.0	0.13541666666666669	0.0	0.0	0.0	0.0	0.0	4
GBR	HG00099	HG00099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7272727272727273	0.0	0.27272727272727276	0.0	1
PJL	HG02655	HG02655	0.0	0.13402061855670103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30927835051546393	0.5567010309278351	4
TSI	NA20506	NA20506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.64	0.0	1
GBR	HG00122	HG00122	0.0	0.0	0.494949494949495	0.0	0.0	0.0	0.0	0.0	0.5050505050505051	0.0	0.0	0.0	1
GBR	HG00120	HG00120	0.0	0.0	0.5454545454545454	0.14772727272727273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3068181818181818	1
MSL	HG03091	HG03091	0.6629213483146068	0.0	0.3370786516853933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
